Película,Recaudación (USD),Fecha de estreno
Oppenheimer,"$960,000,000",2023-07-19
Dune: Parte dos,"$700,000,000",2024-02-27
Spider-Man: Cruzando el Multiverso,"$690,516,673",2023-05-31
"Rojo, blanco y sangre azul","$50,000,000",2023-09-13
El Gato con Botas: El último deseo,"$485,217,855",2022-12-07
Robot salvaje,"$333,800,000",1984-11-18
Una chica del siglo XX,"$15,000,000",2022-11-30
Top Gun: Maverick,"$1,495,696,292",2022-05-21
